,Rating,Reviews,Size,Installs,Price
Rating,1.0,0.05508086657980952,0.06306716125546734,0.04014337289130953,-0.021198965804283702
Reviews,0.05508086657980952,1.0,0.1793213845386589,0.6251645249967063,-0.00759774862062394
Size,0.06306716125546734,0.1793213845386589,1.0,0.13429079352876605,-0.02243883804508796
Installs,0.04014337289130953,0.6251645249967063,0.13429079352876605,1.0,-0.00940517073496237
Price,-0.021198965804283702,-0.00759774862062394,-0.02243883804508796,-0.00940517073496237,1.0
