Category,Rating
ART_AND_DESIGN,4.1
ART_AND_DESIGN,3.9
ART_AND_DESIGN,4.7
ART_AND_DESIGN,4.5
ART_AND_DESIGN,4.3
ART_AND_DESIGN,4.4
ART_AND_DESIGN,3.8
ART_AND_DESIGN,4.1
ART_AND_DESIGN,4.4
ART_AND_DESIGN,4.7
ART_AND_DESIGN,4.4
ART_AND_DESIGN,4.4
ART_AND_DESIGN,4.2
ART_AND_DESIGN,4.6
ART_AND_DESIGN,4.4
ART_AND_DESIGN,3.2
ART_AND_DESIGN,4.7
ART_AND_DESIGN,4.5
ART_AND_DESIGN,4.3
ART_AND_DESIGN,4.6
ART_AND_DESIGN,4.0
ART_AND_DESIGN,4.1
ART_AND_DESIGN,4.7
ART_AND_DESIGN,4.173243045387998
ART_AND_DESIGN,4.7
ART_AND_DESIGN,4.8
ART_AND_DESIGN,4.7
ART_AND_DESIGN,4.1
ART_AND_DESIGN,3.9
ART_AND_DESIGN,4.1
ART_AND_DESIGN,4.2
ART_AND_DESIGN,4.1
ART_AND_DESIGN,4.5
ART_AND_DESIGN,4.2
ART_AND_DESIGN,4.7
ART_AND_DESIGN,3.8
ART_AND_DESIGN,4.7
ART_AND_DESIGN,4.1
ART_AND_DESIGN,4.7
ART_AND_DESIGN,4.0
ART_AND_DESIGN,4.2
ART_AND_DESIGN,4.5
ART_AND_DESIGN,4.4
ART_AND_DESIGN,3.8
ART_AND_DESIGN,4.2
ART_AND_DESIGN,4.7
ART_AND_DESIGN,4.6
ART_AND_DESIGN,4.2
ART_AND_DESIGN,4.3
AUTO_AND_VEHICLES,4.2
AUTO_AND_VEHICLES,4.0
AUTO_AND_VEHICLES,3.8
AUTO_AND_VEHICLES,4.6
AUTO_AND_VEHICLES,3.9
AUTO_AND_VEHICLES,4.3
AUTO_AND_VEHICLES,4.9
AUTO_AND_VEHICLES,4.4
AUTO_AND_VEHICLES,4.2
AUTO_AND_VEHICLES,4.0
AUTO_AND_VEHICLES,3.9
AUTO_AND_VEHICLES,4.6
AUTO_AND_VEHICLES,4.9
AUTO_AND_VEHICLES,4.3
AUTO_AND_VEHICLES,4.6
AUTO_AND_VEHICLES,4.9
AUTO_AND_VEHICLES,3.9
AUTO_AND_VEHICLES,4.0
AUTO_AND_VEHICLES,4.3
AUTO_AND_VEHICLES,3.9
AUTO_AND_VEHICLES,4.2
AUTO_AND_VEHICLES,4.8
AUTO_AND_VEHICLES,3.6
AUTO_AND_VEHICLES,4.2
AUTO_AND_VEHICLES,4.8
AUTO_AND_VEHICLES,4.8
AUTO_AND_VEHICLES,4.6
AUTO_AND_VEHICLES,4.5
AUTO_AND_VEHICLES,4.3
AUTO_AND_VEHICLES,4.5
AUTO_AND_VEHICLES,4.9
AUTO_AND_VEHICLES,3.9
AUTO_AND_VEHICLES,4.4
AUTO_AND_VEHICLES,4.0
AUTO_AND_VEHICLES,4.3
AUTO_AND_VEHICLES,3.7
AUTO_AND_VEHICLES,4.4
AUTO_AND_VEHICLES,4.3
AUTO_AND_VEHICLES,3.2
AUTO_AND_VEHICLES,4.6
AUTO_AND_VEHICLES,4.6
AUTO_AND_VEHICLES,4.5
AUTO_AND_VEHICLES,3.7
AUTO_AND_VEHICLES,4.6
AUTO_AND_VEHICLES,4.6
AUTO_AND_VEHICLES,4.6
AUTO_AND_VEHICLES,4.0
AUTO_AND_VEHICLES,4.4
AUTO_AND_VEHICLES,4.0
BEAUTY,4.7
BEAUTY,4.9
BEAUTY,4.7
BEAUTY,3.9
BEAUTY,3.9
BEAUTY,4.2
BEAUTY,4.6
BEAUTY,4.3
BEAUTY,4.7
BEAUTY,4.7
BEAUTY,4.8
BEAUTY,4.2
BEAUTY,4.3
BEAUTY,4.5
BEAUTY,4.1
BEAUTY,4.173243045387998
BEAUTY,4.2
BEAUTY,4.5
BEAUTY,4.4
BEAUTY,4.0
BEAUTY,4.1
BEAUTY,4.1
BEAUTY,4.4
BEAUTY,4.6
BEAUTY,4.5
BEAUTY,4.173243045387998
BEAUTY,3.9
BEAUTY,4.4
BEAUTY,4.173243045387998
BEAUTY,4.6
BEAUTY,3.8
BEAUTY,4.173243045387998
BEAUTY,4.173243045387998
BEAUTY,4.0
BEAUTY,4.3
BEAUTY,4.5
BEAUTY,4.173243045387998
BEAUTY,4.1
BEAUTY,3.7
BEAUTY,4.7
BEAUTY,4.2
BOOKS_AND_REFERENCE,4.6
BOOKS_AND_REFERENCE,4.5
BOOKS_AND_REFERENCE,4.6
BOOKS_AND_REFERENCE,4.4
BOOKS_AND_REFERENCE,4.2
BOOKS_AND_REFERENCE,4.5
BOOKS_AND_REFERENCE,4.5
BOOKS_AND_REFERENCE,4.5
BOOKS_AND_REFERENCE,4.5
BOOKS_AND_REFERENCE,4.4
BOOKS_AND_REFERENCE,4.5
BOOKS_AND_REFERENCE,4.6
BOOKS_AND_REFERENCE,4.8
BOOKS_AND_REFERENCE,3.9
BOOKS_AND_REFERENCE,4.6
BOOKS_AND_REFERENCE,4.2
BOOKS_AND_REFERENCE,4.1
BOOKS_AND_REFERENCE,4.7
BOOKS_AND_REFERENCE,4.2
BOOKS_AND_REFERENCE,4.3
BOOKS_AND_REFERENCE,3.3
BOOKS_AND_REFERENCE,4.6
BOOKS_AND_REFERENCE,4.8
BOOKS_AND_REFERENCE,4.7
BOOKS_AND_REFERENCE,4.173243045387998
BOOKS_AND_REFERENCE,4.1
BOOKS_AND_REFERENCE,4.6
BOOKS_AND_REFERENCE,4.1
BOOKS_AND_REFERENCE,4.6
BOOKS_AND_REFERENCE,4.7
BOOKS_AND_REFERENCE,4.5
BOOKS_AND_REFERENCE,3.9
BOOKS_AND_REFERENCE,4.4
BOOKS_AND_REFERENCE,4.3
BOOKS_AND_REFERENCE,4.2
BOOKS_AND_REFERENCE,4.5
BOOKS_AND_REFERENCE,4.4
BOOKS_AND_REFERENCE,3.4
BOOKS_AND_REFERENCE,4.9
BOOKS_AND_REFERENCE,4.6
BOOKS_AND_REFERENCE,4.4
BOOKS_AND_REFERENCE,4.173243045387998
BOOKS_AND_REFERENCE,4.4
BOOKS_AND_REFERENCE,4.4
BOOKS_AND_REFERENCE,4.4
BOOKS_AND_REFERENCE,3.5
BOOKS_AND_REFERENCE,4.173243045387998
BOOKS_AND_REFERENCE,4.4
BUSINESS,4.1
BUSINESS,4.3
BUSINESS,4.4
BUSINESS,4.3
BUSINESS,4.3
BUSINESS,4.1
BUSINESS,4.4
BUSINESS,4.3
BUSINESS,3.9
BUSINESS,4.8
BUSINESS,4.5
BUSINESS,4.4
BUSINESS,4.0
BUSINESS,4.3
BUSINESS,4.0
BUSINESS,4.2
BUSINESS,4.5
BUSINESS,4.2
BUSINESS,4.2
BUSINESS,4.6
BUSINESS,4.1
BUSINESS,4.6
BUSINESS,3.1
BUSINESS,3.9
