0,4.1
1,3.9
2,4.7
3,4.5
4,4.3
5,4.4
6,3.8
7,4.1
8,4.4
9,4.7
10,4.4
11,4.4
12,4.2
13,4.6
14,4.4
15,3.2
16,4.7
17,4.5
18,4.3
19,4.6
20,4.0
21,4.1
22,4.7
23,4.173243045387998
24,4.7
25,4.8
26,4.7
27,4.1
28,3.9
29,4.1
30,4.2
31,4.1
32,4.5
33,4.2
34,4.7
35,3.8
36,4.7
37,4.1
38,4.7
39,4.0
40,4.2
41,4.5
42,4.4
43,3.8
44,4.2
45,4.7
46,4.6
47,4.2
48,4.3
49,4.2
50,4.0
51,3.8
52,4.6
53,3.9
54,4.3
55,4.9
56,4.4
57,4.2
58,4.0
59,3.9
60,4.6
61,4.9
62,4.3
63,4.6
64,4.9
65,3.9
66,4.0
67,4.3
68,3.9
69,4.2
70,4.8
71,3.6
72,4.2
73,4.8
74,4.8
75,4.6
76,4.5
77,4.3
78,4.5
79,4.9
80,3.9
81,4.4
82,4.0
83,4.3
84,3.7
85,4.4
86,4.3
87,3.2
88,4.6
89,4.6
90,4.5
91,3.7
92,4.6
93,4.6
94,4.6
95,4.0
96,4.4
97,4.0
98,4.7
99,4.9
100,4.7
101,3.9
102,3.9
103,4.2
104,4.6
105,4.3
106,4.7
107,4.7
108,4.8
109,4.2
110,4.3
111,4.5
112,4.1
113,4.173243045387998
114,4.2
115,4.5
116,4.4
117,4.0
118,4.1
119,4.1
120,4.4
121,4.6
122,4.5
123,4.173243045387998
124,3.9
125,4.4
126,4.173243045387998
127,4.6
128,3.8
129,4.173243045387998
130,4.173243045387998
131,4.0
132,4.3
133,4.5
134,4.173243045387998
135,4.1
136,3.7
137,4.7
138,4.2
139,4.6
140,4.5
141,4.6
142,4.4
143,4.2
144,4.5
145,4.5
146,4.5
147,4.5
148,4.4
149,4.5
150,4.6
151,4.8
152,3.9
153,4.6
154,4.2
155,4.1
156,4.7
157,4.2
158,4.3
159,3.3
160,4.6
161,4.8
162,4.7
163,4.173243045387998
164,4.1
165,4.6
166,4.1
167,4.6
168,4.7
169,4.5
170,3.9
171,4.4
172,4.3
173,4.2
174,4.5
175,4.4
176,3.4
177,4.9
178,4.6
179,4.4
180,4.173243045387998
181,4.4
182,4.4
183,4.4
184,3.5
185,4.173243045387998
186,4.4
187,4.1
188,4.3
189,4.4
190,4.3
191,4.3
192,4.1
193,4.4
194,4.3
195,3.9
196,4.8
197,4.5
198,4.4
199,4.0
200,4.3
201,4.0
202,4.2
203,4.5
204,4.2
205,4.2
206,4.6
207,4.1
208,4.6
209,3.1
210,3.9
211,4.3
212,4.1
213,4.4
214,4.1
215,4.1
216,4.5
217,4.4
218,4.4
219,4.3
220,4.4
221,4.6
222,4.2
223,4.4
224,4.7
225,3.8
226,3.9
227,4.173243045387998
228,4.3
230,4.4
231,4.7
232,4.5
233,4.2
234,4.7
235,4.8
237,4.2
238,4.3
240,4.4
241,4.1
242,3.8
243,4.3
244,3.8
245,3.5
246,4.1
247,4.6
248,4.3
249,4.5
250,4.1
251,4.5
252,4.6
253,4.0
254,4.2
255,4.4
257,4.0
258,4.2
259,4.2
260,4.1
262,3.8
263,3.9
264,3.9
295,4.5
297,4.5
298,4.6
299,4.7
300,4.7
301,4.8
302,3.9
303,4.1
304,4.4
305,4.6
306,4.5
307,4.7
308,4.4
309,4.5
310,3.9
311,3.2
312,3.2
313,4.1
314,4.5
315,4.2
316,4.2
317,3.7
318,4.5
319,4.6
320,4.5
321,4.173243045387998
322,4.7
323,4.4
324,3.5
325,3.3
326,4.5
327,4.4
328,4.2
329,5.0
330,4.4
331,4.7
332,4.4
333,4.4
334,4.6
335,4.0
336,4.4
337,4.3
338,4.3
339,4.4
340,4.3
341,4.0
